2215,2378,1901,3
2231,2405,1912,3
2246,2463,1953,3
2211,2462,1971,3
2198,2456,1989,3
2127,2427,2023,3
2087,2376,2065,3
2072,2345,2108,3
2087,2345,2122,3
2135,2366,2132,3
2189,2375,2141,3
2215,2358,2087,3
2231,2351,1999,3
2234,2315,1926,3
2189,2310,1928,3
2147,2291,1978,3
2128,2285,2026,3
2095,2266,2055,3
2096,2262,2057,3
2116,2260,2038,3
2124,2263,2014,3
2137,2254,1983,3
2161,2249,1984,3
2176,2252,1998,3
2173,2260,1999,3
2164,2277,2002,3
2174,2298,1994,3
2163,2335,1995,3
2167,2390,2002,3
2200,2393,1985,3
2189,2481,2035,3
2192,2482,2035,3
2198,2485,2033,3
2177,2464,2077,3
2121,2418,2075,3
2053,2383,2051,3
2012,2372,2004,3
1988,2406,1972,3
2026,2417,1968,3
2116,2425,1986,3
2175,2409,1975,3
2190,2379,1956,3
2171,2321,1967,3
2133,2269,1974,3
2103,2220,1991,3
2089,2203,2002,3
2061,2213,2020,3
2071,2249,2001,3
2089,2275,1979,3
2101,2299,1943,3
2097,2326,1906,3
2116,2345,1876,3
2131,2348,1873,3
2157,2344,1872,3
2192,2341,1874,3
2197,2355,1905,3
2203,2372,1916,3
2199,2378,1893,3
2203,2431,1905,3
2206,2466,1934,3
2218,2487,1949,3
2188,2503,1997,3
2147,2458,2020,3
2118,2381,2061,3
2113,2335,2092,3
2112,2311,2119,3
2149,2323,2141,3
2167,2348,2164,3
2187,2351,2109,3
2213,2351,1995,3
2223,2339,1935,3
2182,2333,1954,3
2133,2311,1990,3
2103,2289,2024,3
2085,2285,2048,3
2095,2269,2046,3
2111,2262,2044,3
2128,2242,2031,3
2133,2234,2019,3
2156,2231,2018,3
2167,2239,2004,3
2167,2269,1995,3
2172,2301,1978,3
2159,2325,1974,3
2160,2362,1975,3
2152,2393,1998,3
2168,2394,2006,3
2215,2356,1992,3
2231,2373,1977,3
2237,2440,1982,3
2200,2483,2037,3
2178,2496,2108,3
2129,2422,2103,3
2074,2367,2057,3
2008,2387,2020,3
1991,2402,1980,3
2051,2387,1965,3
2139,2392,2000,3
2182,2394,1989,3
2174,2363,1979,3
2154,2322,1975,3
2120,2289,1989,3
2095,2249,1991,3
2083,2240,1993,3
2072,2243,1998,3
