1502,2215,2153,1
1667,2072,2047,1
1611,1957,1906,1
1601,1939,1831,1
1643,1965,1879,1
1604,1959,1921,1
1640,1829,1940,1
1607,1910,1910,1
1546,2045,1910,1
1529,2049,1972,1
1637,1978,1945,1
1596,2046,1866,1
1590,2006,1978,1
1601,1966,1957,1
1542,2003,1959,1
1598,2027,1941,1
1511,2258,1983,1
1555,1980,2023,1
1508,2468,1934,1
1580,1697,2005,1
1627,2073,1992,1
1592,2130,2063,1
1634,2088,1991,1
1638,2102,1916,1
1593,2123,1948,1
1542,2133,2034,1
1601,2015,2042,1
1613,1938,1936,1
1644,1974,2000,1
1642,1933,2046,1
1605,1925,2011,1
1586,1998,2066,1
1577,2032,2108,1
1598,1980,2066,1
1561,1942,2092,1
1628,1935,2142,1
1694,1965,2052,1
1627,1922,2081,1
1598,1950,2117,1
1612,1952,2075,1
1984,1998,1645,1
1984,2003,1653,1
1987,2002,1648,1
1990,2001,1650,1
1992,2000,1657,1
1987,2003,1652,1
1980,1997,1651,1
1979,1999,1651,1
1984,2001,1644,1
1992,2006,1655,1
1983,2000,1645,1
1989,2000,1645,1
1985,1999,1652,1
1991,2003,1653,1
1988,1997,1651,1
1983,2002,1656,1
1983,2000,1648,1
1984,1999,1647,1
1986,2001,1649,1
1981,2000,1651,1
1986,1998,1652,1
1989,1999,1651,1
1987,2000,1648,1
1985,2003,1647,1
1990,1999,1654,1
1987,1999,1646,1
1984,2001,1650,1
1983,2002,1650,1
1989,1999,1651,1
1983,2002,1655,1
1984,2004,1652,1
1984,2005,1647,1
1984,2003,1649,1
1985,2002,1646,1
1986,2002,1649,1
1988,1998,1649,1
1985,2002,1650,1
1981,1997,1651,1
1983,2008,1650,1
1991,1999,1650,1
1928,2382,1943,1
1920,2375,1944,1
1919,2374,1942,1
1923,2382,1949,1
1921,2374,1949,1
1924,2376,1942,1
1922,2371,1950,1
1924,2377,1950,1
1928,2381,1951,1
1926,2374,1955,1
1928,2378,1954,1
1945,2375,1943,1
1958,2381,1947,1
1958,2393,1951,1
1970,2387,1958,1
1999,2397,1958,1
1983,2396,1954,1
1970,2393,1955,1
1971,2393,1960,1
1975,2398,1959,1
1981,2392,1951,1
1981,2384,1953,1
1978,2375,1955,1
1975,2364,1943,1
1971,2370,1949,1
1970,2368,1948,1
1979,2375,1942,1
1982,2380,1935,1
1985,2382,1938,1
1991,2376,1939,1
1987,2377,1937,1
1996,2376,1942,1
2000,2375,1947,1
2010,2374,1949,1
2013,2375,1947,1
2021,2376,1957,1
2018,2372,1958,1
2013,2376,1961,1
2011,2382,1960,1
1987,2381,1953,1
2045,2326,1833,1
2041,2317,1832,1
2046,2323,1836,1
2046,2339,1833,1
2045,2335,1829,1
2042,2332,1834,1
2049,2328,1834,1
2045,2326,1836,1
2053,2333,1837,1
2049,2329,1840,1
2051,2322,1837,1
2044,2326,1835,1
2051,2331,1835,1
2044,2331,1831,1
2041,2335,1840,1
2048,2345,1830,1
2035,2332,1827,1
2043,2336,1828,1
2039,2327,1827,1
2041,2320,1828,1
2039,2327,1822,1
2046,2324,1824,1
2043,2319,1830,1
2041,2338,1828,1
2036,2344,1830,1
2036,2339,1828,1
2033,2329,1830,1
2035,2328,1834,1
2041,2331,1829,1
2034,2325,1839,1
2038,2332,1843,1
2035,2338,1839,1
2039,2323,1851,1
2033,2320,1841,1
2035,2334,1839,1
2030,2334,1831,1
2029,2319,1825,1
2030,2308,1831,1
2028,2301,1834,1
2044,2302,1844,1
1915,2337,1906,1
1912,2341,1886,1
1825,2281,1845,1
1900,2440,1922,1
1945,2299,1869,1
1805,2317,1713,1
1891,2302,1822,1
1874,2334,1825,1
1883,2323,1820,1
1870,2326,1850,1
1883,2303,1854,1
1897,2272,1885,1
1866,2301,1814,1
1877,2301,1829,1
1881,2309,1902,1
1859,2320,1808,1
1894,2296,1787,1
1885,2330,1892,1
1911,2318,1867,1
1887,2327,1821,1
1881,2306,1845,1
1862,2306,1850,1
1874,2308,1855,1
1886,2317,1853,1
1882,2323,1862,1
1884,2323,1851,1
1885,2323,1860,1
1881,2315,1859,1
1879,2329,1875,1
1892,2327,1860,1
1948,2281,1769,1
1865,2285,1797,1
1809,2311,1653,1
1804,2211,1690,1
1866,2325,1743,1
1895,2373,1891,1
1906,2313,2009,1
1898,2324,1924,1
1862,2318,1822,1
1866,2313,1847,1
1953,1979,1629,1
1950,1987,1640,1
1957,1979,1635,1
1958,1977,1639,1
1954,1981,1641,1
1951,1974,1634,1
1954,1975,1631,1
1954,1983,1632,1
1954,1986,1637,1
1950,1976,1634,1
1956,1985,1627,1
1951,1981,1635,1
1949,1980,1636,1
1958,1988,1635,1
1953,1981,1634,1
1952,1981,1634,1
1954,1975,1635,1
1955,1984,1639,1
1954,1985,1635,1
1953,1979,1641,1
1955,1981,1644,1
1948,1982,1635,1
1951,1975,1637,1
1949,1982,1642,1
1952,1982,1630,1
1951,1983,1642,1
1951,1983,1632,1
1952,1983,1634,1
1951,1982,1641,1
1955,1983,1633,1
1955,1979,1637,1
1945,1979,1637,1
1953,1986,1641,1
1954,1976,1633,1
1955,1985,1634,1
1950,1980,1639,1
1949,1978,1638,1
1953,1980,1633,1
1948,1985,1635,1
1960,1980,1636,1
